x7c:d9:5c:ae:e4:91 phone_googlepixel3A_6
36:f2:ae:68:cd:a9 iphone_SE_virtual_mac2
48:e1:e9:c3:d8:6a Meross_Smartplug_1
48:e1:e9:c3:d2:4f Meross_Smartplug_2
a4:11:62:f4:08:30 Arlo_Base_Station
e4:5e:1b:de:58:f0 Google_Nest_Wifi_Router
48:a2:e6:c9:80:f1 Honeywell_T6_Thermostat
4:17:b6:55:13:3a eufy_doorbell
d8:3a:dd:15:42:41 matter-controller-pi
d8:3a:dd:15:42:fb matter-light-pi
8:fb:ea:2e:2c:82 simplisafe_doorbell
a4:11:62:e5:2c:53 arlo_chime
70:ee:50:94:45:98 netatmo_doorbell
58:ef:68:99:7d:ed belkin_plug
7c:49:eb:93:19:e3 mi_control_hub
f4:3:2a:72:cb:f0 echoflex
c4:dd:57:4a:4a:9c purifier_levoit
d8:3a:dd:15:42:b4 Home_Assistant
98:25:4a:e2:3d:e0 Tapo_Smartplug_1
fc:3c:d7:cb:1e:d2 Eightree_Smartplug_1
cc:8d:a2:a2:49:18 Sengled_Smartplug_1
cc:8d:a2:a0:9:78 Sengled_Smartplug_2
f4:f3:09:bf:de:a7 phone_google_pixel3a_p8bw
58:cb:52:2f:11:0c phone_google_pixel3a_7c74
98:54:1b:fe:2b:1c dns_test-Win-10_pc 
cc:08:fa:b1:51:23 dns_test-Apple-MAC_pc
14:c9:cf:4a:6d:a9 blurams_security_camera
c:8c:24:b:be:fb Yi_Camera
ec:4d:3e:16:12:39 yeelight_bulb_4
d8:3a:dd:15:42:42 PiAttacker
14:6b:9c:c6:ec:a6 wansview_camera
68:37:e9:1:5a:23  echodot_imperial
14:c1:4e:b0:93:7e echoplus_imperial
50:32:37:b9:f7:69 apple_tv_dev
8:12:a5:2d:27:bc  fire_tv_stick_3
ac:ae:19:12:33:1e roku_tv_stick2
5c:41:5a:29:ad:97 echospot_imperial
70:ee:50:36:98:da netatmo_weather_station
50:c7:bf:b1:d2:78 tplink_plug_imperial
b0:be:76:be:f2:aa tplink_plug2_imperial
54:60:9:6f:32:84 google_home
4c:a9:19:ed:6b:c1 antela_smart_bulb
dc:62:79:d3:4f:35 tapo_smart_bulb_l530e
38:a5:c9:af:49:dd fitop_smart_bulb
e0:51:d8:15:5a:69 lab_pc
